dataset,rbf_count,trajectory_mse,forcing_mse,is_best_rbf
CShape,5,79.72297442261345,4103068.0525247725,False
CShape,10,32.161433509477575,1758142.1572509164,False
CShape,20,9.86812790441782,575256.4283717732,False
CShape,30,5.2039149624473735,308624.7140108145,False
CShape,50,2.922987811757929,164406.013231325,False
CShape,75,2.2609514571745732,118122.36791969498,False
CShape,100,2.0395456241490173,101187.29967846662,True
Line,5,469.0779678785339,17733627.71130688,False
Line,10,143.90236791270658,5138297.046687953,False
Line,20,41.405118937855704,1458968.621165896,False
Line,30,24.243778099032603,877472.2742145316,False
Line,50,16.14952708269055,574890.2594555374,False
Line,75,13.711618347363443,460615.6548889942,False
Line,100,12.852324740181691,412100.0253853279,True
Sshape,5,1430.7735732084554,85252232.35507955,False
Sshape,10,832.7359248340827,63265130.88431017,False
Sshape,20,375.5198009591904,34750879.983580306,False
Sshape,30,209.36157235404727,21200636.701877132,False
Sshape,50,104.79920971501255,10992456.722446142,False
Sshape,75,71.5883310019782,7014325.15304751,False
Sshape,100,60.906496642624305,5487379.314777519,True
WShape,5,730.7994979221739,59431510.929507084,False
WShape,10,492.1530313362159,47937831.5121883,False
WShape,20,263.3074869137921,29677394.572733745,False
WShape,30,152.23411968271958,18751254.506448507,False
WShape,50,73.23829222696908,9397302.101802468,False
WShape,75,46.945138293695166,5309981.993897797,False
WShape,100,38.66053305961183,3676454.7622453803,True
